,Zone,Line name ,Stop_name,City council
174,2,Hurstbridge line,Watsonia,Banyule C  
175,2,Hurstbridge line,Macleod,Banyule C  
176,2,Hurstbridge line,Rosanna,Banyule C  
177,1&2,Hurstbridge line,Heidelberg,Banyule C  
178,1&2,Hurstbridge line,Eaglemont,Banyule C  
179,1&2,Hurstbridge line,Ivanhoe,Banyule C  
180,1,Hurstbridge line,Darebin,Banyule C  
181,1,Hurstbridge line,Alphington,Darebin C  
182,1,Hurstbridge line,Fairfield,Darebin C  
183,1,Hurstbridge line,Dennis,Darebin C  
184,1,Hurstbridge line,Westgarth,Darebin C  
185,1,Inner city,Clifton Hill,Yarra C  
186,1,Inner city,Victoria Park,Yarra C  
187,1,Inner city,Collingwood,Yarra C  
188,1,Inner city,North Richmond,Yarra C  
189,1,Inner city,West Richmond,Yarra C  
190,1,Inner city,Jolimont-MCG,Melbourne C  
196,2,Ringwood line,Lilydale,Yarra Ranges S  
197,2,Ringwood line,Mooroolbark,Yarra Ranges S  
198,2,Ringwood line,Croydon,Maroondah C  
199,2,Ringwood line,Ringwood East,Maroondah C  
223,2,Mernda line,Mernda,Whittlesea C  
224,2,Mernda line,Hawkstowe,Whittlesea C  
225,2,Mernda line,Middle Gorge,Whittlesea C  
226,2,Mernda line,South Morang,Whittlesea C  
227,2,Mernda line,Epping,Whittlesea C  
228,2,Mernda line,Lalor,Whittlesea C  
229,2,Mernda line,Thomastown,Whittlesea C  
230,2,Mernda line,Keon Park,Darebin C  
231,2,Mernda line,Ruthven,Darebin C  
232,1&2,Mernda line,Reservoir,Darebin C  
233,1&2,Mernda line,Regent,Darebin C  
234,1&2,Mernda line,Preston,Darebin C  
235,1,Mernda line,Bell,Darebin C  
236,1,Mernda line,Thornbury,Darebin C  
237,1,Mernda line,Croxton,Darebin C  
238,1,Mernda line,Northcote,Darebin C  
239,1,Mernda line,Merri,Darebin C  
240,1,Mernda line,Rushall,Yarra C  
252,2,Dandenong line,Pakenham,Cardinia S  
253,2,Dandenong line,Cardinia Road,Cardinia S  
254,2,Dandenong line,Officer,Cardinia S  
255,2,Dandenong line,Beaconsfield,Cardinia S  
256,2,Dandenong line,Berwick,Casey C  
257,2,Dandenong line,Narre Warren,Casey C  
258,2,Dandenong line,Hallam,Casey C  
283,2,Sandringham line,Sandringham,Bayside C  
284,2,Sandringham line,Hampton,Bayside C  
285,1&2,Sandringham line,Brighton Beach,Bayside C  
286,1&2,Sandringham line,Middle Brighton,Bayside C  
287,1&2,Sandringham line,North Brighton,Bayside C  
288,1,Sandringham line,Gardenvale,Glen Eira C  
289,1,Sandringham line,Elsternwick,Glen Eira C  
290,1,Sandringham line,Ripponlea,Port Phillip C  
291,1,Sandringham line,Balaclava,Port Phillip C  
292,1,Sandringham line,Windsor,Port Phillip C  
293,1,Sandringham line,Prahran,Melbourne C  
301,2,Stony Point line,Stony Point,Mornington Peninsula S  
302,2,Stony Point line,Crib Point,Mornington Peninsula S  
303,2,Stony Point line,Morradoo,Mornington Peninsula S  
304,2,Stony Point line,Bittern,Mornington Peninsula S  
305,2,Stony Point line,Hastings,Mornington Peninsula S  
306,2,Stony Point line,Tyabb,Mornington Peninsula S  
307,2,Stony Point line,Somerville,Mornington Peninsula S  
308,2,Stony Point line,Baxter,Mornington Peninsula S  
309,2,Stony Point line,Leawarra,Frankston C  
311,2,Upfield line,Upfield,Hume C  
312,2,Upfield line,Gowrie,Merri-Bec
313,1&2,Upfield line,Fawkner,Merri-Bec
314,1&2,Upfield line,Merlynston,Merri-Bec
315,1&2,Upfield line,Batman,Merri-Bec
316,1,Upfield line,Coburg,Merri-Bec
317,1,Upfield line,Moreland,Merri-Bec
318,1,Upfield line,Anstey,Merri-Bec
319,1,Upfield line,Brunswick,Merri-Bec
320,1,Upfield line,Jewell,Merri-Bec
321,1,Upfield line,Royal Park,Melbourne C  
322,1,Upfield line,Flemington Bridge,Moonee Valley C  
323,1,Upfield line,Macaulay,Melbourne C  
330,2,Werribee line,Werribee,Wyndham C  
331,2,Werribee line,Hoppers Crossing,Wyndham C  
332,2,Werribee line,Williams Landing,Wyndham C  
333,2,Werribee line,Aircraft,Hobsons Bay C  
334,1&2,Werribee line,Laverton,Hobsons Bay C  
335,1&2,Werribee line,Westona,Hobsons Bay C  
336,1&2,Werribee line,Altona,Hobsons Bay C  
337,1,Werribee line,Seaholme,Hobsons Bay C  
338,1,Werribee line,Newport,Hobsons Bay C  
339,1,Werribee line,Spotswood,Hobsons Bay C  
340,1,Werribee line,Yarraville,Maribyrnong C  
341,1,Werribee line,Seddon,Maribyrnong C  
349,1,Werribee line,Williamstown,Hobsons Bay C  
350,1,Werribee line,Williamstown Beach,Hobsons Bay C  
351,1,Werribee line,North Williamstown,Hobsons Bay C  
