Zone,Line name ,Station,City council
1,Frankston line,Glen Huntly,Glen Eira C  
1,Frankston line,Caulfield,Glen Eira C  
1,Frankston line,Malvern,Stonnington C  
1,Frankston line,Armadale,Stonnington C  
1,Frankston line,Toorak,Stonnington C  
1,Frankston line,Hawksburn,Stonnington C  
1,Frankston line,South Yarra,Melbourne C  
1,Frankston line,Richmond,Yarra C  
1,Frankston line,Flinders Street,Melbourne C  
1,Frankston line,Southern Cross,Melbourne C  
1,Frankston line,Flagstaff,Melbourne C  
1,Frankston line,Melbourne Central,Melbourne C  
1,Frankston line,Parliament,Melbourne C  
2,Glen Waverley line,Glen Waverley,Monash C  
2,Glen Waverley line,Syndal,Monash C  
2,Glen Waverley line,Mount Waverley,Monash C  
2,Glen Waverley line,Jordanville,Monash C  
1&2,Glen Waverley line,Holmesglen,Stonnington C  
1&2,Glen Waverley line,East Malvern,Stonnington C  
1&2,Glen Waverley line,Darling,Stonnington C  
1,Glen Waverley line,Glen Iris,Stonnington C  
1,Glen Waverley line,Gardiner,Stonnington C  
1,Glen Waverley line,Tooronga,Stonnington C  
1,Glen Waverley line,Kooyong,Stonnington C  
1,Glen Waverley line,Heyington,Stonnington C  
1,Glen Waverley line,Burnley,Yarra C  
1,Glen Waverley line,East Richmond,Yarra C  
1,Glen Waverley line,Richmond,Yarra C  
1,Glen Waverley line,Flinders Street,Melbourne C  
1,Glen Waverley line,Southern Cross,Melbourne C  
1,Glen Waverley line,Flagstaff,Melbourne C  
1,Glen Waverley line,Melbourne Central,Melbourne C  
1,Glen Waverley line,Parliament,Melbourne C  
2,Hurstbridge line,Hurstbridge,Nillumbik S  
2,Hurstbridge line,Wattle Glen,Nillumbik S  
2,Hurstbridge line,Diamond Creek,Nillumbik S  
2,Hurstbridge line,Eltham,Banyule C  
2,Hurstbridge line,Montmorency,Banyule C  
2,Hurstbridge line,Greensborough,Banyule C  
2,Hurstbridge line,Watsonia,Banyule C  
2,Hurstbridge line,Macleod,Banyule C  
2,Hurstbridge line,Rosanna,Banyule C  
1&2,Hurstbridge line,Heidelberg,Banyule C  
1&2,Hurstbridge line,Eaglemont,Banyule C  
1&2,Hurstbridge line,Ivanhoe,Banyule C  
1,Hurstbridge line,Darebin,Banyule C  
1,Hurstbridge line,Alphington,Darebin C  
1,Hurstbridge line,Fairfield,Darebin C  
1,Hurstbridge line,Dennis,Darebin C  
1,Hurstbridge line,Westgarth,Darebin C  
1,Hurstbridge line,Clifton Hill,Yarra C  
1,Hurstbridge line,Victoria Park,Yarra C  
1,Hurstbridge line,Collingwood,Yarra C  
1,Hurstbridge line,North Richmond,Yarra C  
1,Hurstbridge line,West Richmond,Yarra C  
1,Hurstbridge line,Jolimont-MCG,Melbourne C  
1,Hurstbridge line,Parliament,Melbourne C  
1,Hurstbridge line,Melbourne Central,Melbourne C  
1,Hurstbridge line,Flagstaff,Melbourne C  
1,Hurstbridge line,Southern Cross,Melbourne C  
1,Hurstbridge line,Flinders Street,Melbourne C  
2,Lilydale line,Lilydale,Yarra Ranges S  
2,Lilydale line,Mooroolbark,Yarra Ranges S  
2,Lilydale line,Croydon,Maroondah C  
2,Lilydale line,Ringwood East,Maroondah C  
2,Lilydale line,Ringwood,Maroondah C  
2,Lilydale line,Heatherdale,Maroondah C  
2,Lilydale line,Mitcham,Whitehorse C  
2,Lilydale line,Nunawading,Manningham C  
2,Lilydale line,Blackburn,Whitehorse C  
2,Lilydale line,Laburnum,Whitehorse C  
2,Lilydale line,Box Hill,Whitehorse C  
1&2,Lilydale line,Union,Boroondara C  
1&2,Lilydale line,Chatham,Boroondara C  
