With train,City Council_format2,City council,Year,House Number of Sales,Unit/Apartment Number of Sales,Vacant House Number of Sales,Total Number of Sales
Yes,Boroondara City,Boroondara C  ,2018,1610,1523,24,3157
Yes,Boroondara City,Boroondara C  ,2019,1657,1349,19,3025
Yes,Boroondara City,Boroondara C  ,2020,1398,1148,17,2563
Yes,Boroondara City,Boroondara C  ,2021,2221,1885,25,4131
Yes,Brimbank City,Brimbank C  ,2018,1922,564,59,2545
Yes,Brimbank City,Brimbank C  ,2019,1757,525,159,2441
Yes,Brimbank City,Brimbank C  ,2020,1408,467,149,2024
Yes,Brimbank City,Brimbank C  ,2021,2250,761,111,3122
No,Buloke Shire,Buloke S  ,2018,123,3,18,144
No,Buloke Shire,Buloke S  ,2019,105,5,17,127
No,Buloke Shire,Buloke S  ,2020,131,7,29,167
No,Buloke Shire,Buloke S  ,2021,149,3,39,191
No,Campaspe Shire,Campaspe S  ,2018,491,81,127,699
No,Campaspe Shire,Campaspe S  ,2019,424,94,116,634
No,Campaspe Shire,Campaspe S  ,2020,480,68,237,785
No,Campaspe Shire,Campaspe S  ,2021,607,95,74,776
Yes,Cardinia Shire,Cardinia S  ,2018,1853,235,903,2991
Yes,Cardinia Shire,Cardinia S  ,2019,1726,208,789,2723
Yes,Cardinia Shire,Cardinia S  ,2020,1669,197,1209,3075
Yes,Cardinia Shire,Cardinia S  ,2021,2583,285,781,3649
Yes,Casey City,Casey C  ,2018,4511,584,2677,7772
Yes,Casey City,Casey C  ,2019,4683,522,2328,7533
Yes,Casey City,Casey C  ,2020,4365,562,4235,9162
Yes,Casey City,Casey C  ,2021,6406,875,2107,9388
No,Central Goldfields Shire,Central Goldfields S  ,2018,233,36,36,305
No,Central Goldfields Shire,Central Goldfields S  ,2019,207,23,41,271
No,Central Goldfields Shire,Central Goldfields S  ,2020,203,25,67,295
No,Central Goldfields Shire,Central Goldfields S  ,2021,294,32,93,419
No,Colac Otway Shire,Colac Otway S  ,2018,374,62,177,613
No,Colac Otway Shire,Colac Otway S  ,2019,340,50,136,526
No,Colac Otway Shire,Colac Otway S  ,2020,350,52,141,543
No,Colac Otway Shire,Colac Otway S  ,2021,387,55,111,553
No,Corangamite Shire,Corangamite S  ,2018,211,14,44,269
No,Corangamite Shire,Corangamite S  ,2019,177,10,41,228
No,Corangamite Shire,Corangamite S  ,2020,217,13,67,297
No,Corangamite Shire,Corangamite S  ,2021,251,18,46,315
Yes,Greater Dandenong City,Greater Dandenong C  ,2018,1098,937,74,2109
Yes,Greater Dandenong City,Greater Dandenong C  ,2019,1155,761,80,1996
Yes,Greater Dandenong City,Greater Dandenong C  ,2020,931,693,71,1695
Yes,Greater Dandenong City,Greater Dandenong C  ,2021,1506,1289,55,2850
Yes,Darebin City,Darebin C  ,2018,1290,1402,16,2708
Yes,Darebin City,Darebin C  ,2019,1267,1242,12,2521
Yes,Darebin City,Darebin C  ,2020,1107,1174,5,2286
Yes,Darebin City,Darebin C  ,2021,1635,1878,20,3533
No,East Gippsland Shire,East Gippsland S  ,2018,923,147,368,1438
No,East Gippsland Shire,East Gippsland S  ,2019,843,132,332,1307
No,East Gippsland Shire,East Gippsland S  ,2020,1012,86,567,1665
No,East Gippsland Shire,East Gippsland S  ,2021,1243,106,513,1862
Yes,Frankston City,Frankston C  ,2018,2117,803,69,2989
Yes,Frankston City,Frankston C  ,2019,1986,752,86,2824
Yes,Frankston City,Frankston C  ,2020,1810,813,58,2681
Yes,Frankston City,Frankston C  ,2021,2465,1131,50,3646
Yes,Frankston City,Frankston C  ,2018,0,0,0,0
Yes,Frankston City,Frankston C  ,2019,0,0,1,1
Yes,Frankston City,Frankston C  ,2020,0,0,0,0
Yes,Frankston City,Frankston C  ,2021,0,0,7,7
No,Gannawarra Shire,Gannawarra S  ,2018,194,8,40,242
No,Gannawarra Shire,Gannawarra S  ,2019,161,9,34,204
No,Gannawarra Shire,Gannawarra S  ,2020,173,15,59,247
No,Gannawarra Shire,Gannawarra S  ,2021,232,15,54,301
No,Greater Geelong City,Greater Geelong C  ,2018,4560,1118,3367,9045
No,Greater Geelong City,Greater Geelong C  ,2019,4184,934,1619,6737
No,Greater Geelong City,Greater Geelong C  ,2020,4440,971,3227,8638
No,Greater Geelong City,Greater Geelong C  ,2021,5602,1166,2457,9225
Yes,Glen Eira City,Glen Eira C  ,2018,1224,1736,13,2973
Yes,Glen Eira City,Glen Eira C  ,2019,1283,1456,14,2753
Yes,Glen Eira City,Glen Eira C  ,2020,948,1479,5,2432
Yes,Glen Eira City,Glen Eira C  ,2021,1435,2269,8,3712
No,Glenelg Shire,Glenelg S  ,2018,418,39,71,528
No,Glenelg Shire,Glenelg S  ,2019,349,58,72,479
No,Glenelg Shire,Glenelg S  ,2020,363,30,148,541
No,Glenelg Shire,Glenelg S  ,2021,393,47,107,547
No,Golden Plains Shire,Golden Plains S  ,2018,126,9,95,230
No,Golden Plains Shire,Golden Plains S  ,2019,117,4,52,173
No,Golden Plains Shire,Golden Plains S  ,2020,140,10,96,246
No,Golden Plains Shire,Golden Plains S  ,2021,138,6,47,191
No,Hepburn Shire,Hepburn S  ,2018,286,24,91,401
No,Hepburn Shire,Hepburn S  ,2019,253,22,74,349
No,Hepburn Shire,Hepburn S  ,2020,289,27,125,441
