Zone,Line name ,Stop_name,City council
1,Hurstbridge line,Dennis,Darebin C  
1,Hurstbridge line,Westgarth,Darebin C  
1,Inner city,Clifton Hill,Yarra C  
1,Inner city,Victoria Park,Yarra C  
1,Inner city,Collingwood,Yarra C  
1,Inner city,North Richmond,Yarra C  
1,Inner city,West Richmond,Yarra C  
1,Inner city,Jolimont-MCG,Melbourne C  
2,Ringwood line,Lilydale,Yarra Ranges S  
2,Ringwood line,Mooroolbark,Yarra Ranges S  
2,Ringwood line,Croydon,Maroondah C  
2,Ringwood line,Ringwood East,Maroondah C  
2,Mernda line,Mernda,Whittlesea C  
2,Mernda line,Hawkstowe,Whittlesea C  
2,Mernda line,Middle Gorge,Whittlesea C  
2,Mernda line,South Morang,Whittlesea C  
2,Mernda line,Epping,Whittlesea C  
2,Mernda line,Lalor,Whittlesea C  
2,Mernda line,Thomastown,Whittlesea C  
2,Mernda line,Keon Park,Darebin C  
2,Mernda line,Ruthven,Darebin C  
1&2,Mernda line,Reservoir,Darebin C  
1&2,Mernda line,Regent,Darebin C  
1&2,Mernda line,Preston,Darebin C  
1,Mernda line,Bell,Darebin C  
1,Mernda line,Thornbury,Darebin C  
1,Mernda line,Croxton,Darebin C  
1,Mernda line,Northcote,Darebin C  
1,Mernda line,Merri,Darebin C  
1,Mernda line,Rushall,Yarra C  
2,Dandenong line,Pakenham,Cardinia S  
2,Dandenong line,Cardinia Road,Cardinia S  
2,Dandenong line,Officer,Cardinia S  
2,Dandenong line,Beaconsfield,Cardinia S  
2,Dandenong line,Berwick,Casey C  
2,Dandenong line,Narre Warren,Casey C  
2,Dandenong line,Hallam,Casey C  
2,Sandringham line,Sandringham,Bayside C  
2,Sandringham line,Hampton,Bayside C  
1&2,Sandringham line,Brighton Beach,Bayside C  
1&2,Sandringham line,Middle Brighton,Bayside C  
1&2,Sandringham line,North Brighton,Bayside C  
1,Sandringham line,Gardenvale,Glen Eira C  
1,Sandringham line,Elsternwick,Glen Eira C  
1,Sandringham line,Ripponlea,Port Phillip C  
1,Sandringham line,Balaclava,Port Phillip C  
1,Sandringham line,Windsor,Port Phillip C  
1,Sandringham line,Prahran,Melbourne C  
2,Stony Point line,Stony Point,Mornington Peninsula S  
2,Stony Point line,Crib Point,Mornington Peninsula S  
2,Stony Point line,Morradoo,Mornington Peninsula S  
2,Stony Point line,Bittern,Mornington Peninsula S  
2,Stony Point line,Hastings,Mornington Peninsula S  
2,Stony Point line,Tyabb,Mornington Peninsula S  
2,Stony Point line,Somerville,Mornington Peninsula S  
2,Stony Point line,Baxter,Mornington Peninsula S  
2,Stony Point line,Leawarra,Frankston C  
2,Upfield line,Upfield,Hume C  
2,Upfield line,Gowrie,Merry-bek C
1&2,Upfield line,Fawkner,Merry-bek C
1&2,Upfield line,Merlynston,Merry-bek C
1&2,Upfield line,Batman,Merry-bek C
1,Upfield line,Coburg,Merry-bek C
1,Upfield line,Merry-bek C,Merry-bek C
1,Upfield line,Anstey,Merry-bek C
1,Upfield line,Brunswick,Merry-bek C
