Trip_ID,Person_ID,Year,Total_Stops,Trip_Count,Start_Time,Arrival_Time,Trip_Time,Travel_Time,Wait_Time,Duration,Total_Distance,Original_Place_1,Original_Place_2,Original_Purpose_1,Original_Purpose_2,Destination_1,Destination_2,Dest_Purpose_1,Dest_Purpose_2,Starting_LGA,Ending_LGA,Trip_Purpose,Link_Mode,Dist_1,Dist_2,Dist_3,Dist_4,Dist_5,Dist_6,Dist_7,Mode_1,Mode_2,Mode_3,Mode_4,Mode_5,Mode_6,Mode_7,Time_1,Time_2,Time_3,Time_4,Time_5,Time_6,Time_7
Y18H3060240P02T02,Y18H3060240P02,2018,3,2,900,975,75,65,10,0.0,24.31,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Monash (C),Change Mode,Train,0.51,20.75,3.05,0.0,0.0,0.0,0.0,Walking,Train,Vehicle Driver,0,0,0,0,5,50.0,10.0,0.0,0.0,0.0,0.0
Y18H3060315P03T03,Y18H3060315P03,2018,2,3,470,505,35,35,0,365.0,6.27,Transport Feature,Train Station,Education,At school,Place of Education,Secondary School,Education,At school,Boroondara (C),Boroondara (C),Education,Train,4.74,1.54,0.0,0.0,0.0,0.0,0.0,Train,Walking,0,0,0,0,0,10,25.0,0.0,0.0,0.0,0.0,0.0
Y18H3060315P03T04,Y18H3060315P03,2018,5,4,870,925,55,54,1,0.0,7.57,Place of Education,Secondary School,Education,At school,Accommodation,Survey Home,At or Go Home,Go home,Boroondara (C),Boroondara (C),Change Mode,Train,0.71,1.02,0.12,4.74,0.99,0.0,0.0,Walking,Tram,Walking,Train,Walking,0,0,20,10.0,3.0,9.0,12.0,0.0,0.0
Y18H3060317P01T01,Y18H3060317P01,2018,3,1,471,515,44,37,7,15.0,14.33,Accommodation,Survey Home,At Home,At home,Place of Education,Kinder or Preschool,Pick-up or Drop-off Someone,Someone picked-up or delivered,Boroondara (C),Yarra (C),Pick-up or Drop-off Someone,Train,1.81,10.24,2.28,0.0,0.0,0.0,0.0,Vehicle Driver,Train,Walking,0,0,0,0,3,24.0,10.0,0.0,0.0,0.0,0.0
Y18H3060317P01T02,Y18H3060317P01,2018,4,2,530,565,35,35,0,555.0,5.52,Place of Education,Kinder or Preschool,Pick-up or Drop-off Someone,Someone picked-up or delivered,Workplace,My Workplace,Work Related,Own Workplace,Yarra (C),Melbourne (C),Work Related,Train,1.13,3.37,0.52,0.5,0.0,0.0,0.0,Walking,Train,Walking,Walking,0,0,0,10,10.0,5.0,10.0,0.0,0.0,0.0
Y18H3060317P01T03,Y18H3060317P01,2018,3,3,1120,1175,55,48,7,0.0,15.51,Workplace,My Workplace,Work Related,Own Workplace,Accommodation,Survey Home,At or Go Home,Go home,Melbourne (C),Boroondara (C),Change Mode,Train,0.78,13.68,1.05,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,11,23.0,14.0,0.0,0.0,0.0,0.0
Y18H3060317P02T01,Y18H3060317P02,2018,3,1,345,400,55,45,10,465.0,12.92,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Boroondara (C),Melbourne (C),Work Related,Train,1.05,11.56,0.31,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,10,30.0,5.0,0.0,0.0,0.0,0.0
Y18H3060317P02T02,Y18H3060317P02,2018,3,2,865,900,35,27,8,25.0,3.98,Workplace,My Workplace,Work Related,Own Workplace,Place of Education,School NEC,Pick-up or Drop-off Someone,Someone picked-up or delivered,Melbourne (C),Yarra (C),Pick-up or Drop-off Someone,Train,0.31,2.07,1.6,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,5,7.0,15.0,0.0,0.0,0.0,0.0
Y18H3060317P03T01,Y18H3060317P03,2018,3,1,471,515,44,37,7,410.0,14.31,Accommodation,Survey Home,At Home,At home,Place of Education,Primary School,Education,At school,Boroondara (C),Yarra (C),Education,Train,1.81,10.24,2.26,0.0,0.0,0.0,0.0,Vehicle Passenger,Train,Walking,0,0,0,0,3,24.0,10.0,0.0,0.0,0.0,0.0
Y18H3060319P02T01,Y18H3060319P02,2018,3,1,495,550,55,52,3,445.0,12.92,Accommodation,Survey Home,At Home,At home,Workplace,My Workplace,Work Related,Own Workplace,Boroondara (C),Melbourne (C),Work Related,Train,0.98,11.56,0.38,0.0,0.0,0.0,0.0,Walking,Train,Walking,0,0,0,0,12,33.0,7.0,0.0,0.0,0.0,0.0
