,City council,Distance,Stop_lat,Stop_long,TotalAnnual,TotalAMPeak,TotalPMPeak,TotalWeekday,TotalWeekend,TotalOffpeak,TotalIncrease(%),WeekdayIncrease(%),AMIncrease(%),PMIncrease(%),OffPeakIncrease(%),WeekendIncrease(%),Unit18,House18,Plot18,Total18,Unit19,House19,Plot19,Total19,Unit20,House20,Plot20,Total20,Unit21,House21,Plot21,Total21,TotalUnit,TotalHouse,TotalPlot,Total
9,Glen Eira C  ,10.8602370236604,-37.89764161,145.03570245,24589800.0,31150.0,21350.0,82600.0,91750.0,30350.0,61.87590887057684,61.48969889064976,59.57446808510638,68.51851851851852,58.64978902953587,68.81559220389805,1736,1224,13,2973,1456,1283,14,2753,1479,948,5,2432,2269,1435,8,3712,6940,4890,40,11870
23,Whitehorse C  ,16.588422189687698,-37.819737134,145.15580205999998,18953400.0,29000.0,14450.0,65050.0,57850.0,21650.0,41.01816494548009,38.84892086330935,40.7563025210084,33.582089552238806,41.75824175824176,50.22222222222222,1466,1544,17,3027,1448,1561,27,3036,1119,1241,24,2384,1719,2000,20,3739,5752,6346,88,12186
12,Kingston C  ,25.547626045330283,-38.01945418555556,145.1040899777778,14826050.0,19850.0,12050.0,49700.0,53050.0,18800.0,63.33534599874927,60.62499999999999,50.0,85.71428571428571,62.83185840707964,76.47058823529412,1480,1419,12,2911,1453,1534,36,3023,1319,1238,31,2588,1912,1825,35,3772,6164,6016,114,12294
4,Cardinia S  ,48.81524700067996,-38.0672203775,145.42530775,5640200.0,9100.0,3100.0,20550.0,14150.0,8950.0,149.97435593955893,138.54166666666669,158.53658536585365,138.46153846153845,120.93023255813952,196.2962962962963,235,1853,903,2991,208,1726,789,2723,197,1669,1209,3075,285,2583,781,3649,925,7831,3682,12438
17,Monash C  ,15.748572088218625,-37.89194320875,145.1176032,33914850.0,39800.0,34650.0,116100.0,112150.0,41500.0,75.41909660203576,71.55688622754491,63.29588014981273,86.66666666666667,71.98275862068965,99.59919839679358,1445,1671,25,3141,1257,1727,22,3006,1169,1338,31,2538,1685,2149,31,3865,5556,6885,109,12550
2,Boroondara C  ,9.023778323726685,-37.83538415538462,145.06607342307692,26341800.0,31350.0,33400.0,94000.0,74000.0,32300.0,66.56029830946021,64.86042692939245,60.280373831775705,64.7887323943662,74.33155080213903,80.90692124105013,1523,1610,24,3157,1349,1657,19,3025,1148,1398,17,2563,1885,2221,25,4131,5905,6886,85,12876
16,Melbourne C  ,2.571548988767028,-37.81102201,144.95647558333334,199105700.0,58500.0,392200.0,687350.0,588100.0,237250.0,60.18495080721375,56.966145833333336,67.33167082294264,52.20392989909719,64.06882591093117,79.57399103139014,4531,304,6,4841,3828,274,1,4103,2832,224,0,3056,3777,399,4,4180,14968,1201,11,16180
19,Mornington Peninsula S  ,57.18438342376888,-38.30208001625,145.187832675,270050.0,2000.0,2000.0,2000.0,4200.0,6000.0,59.111617312072894,100.0,100.0,100.0,100.0,84.21052631578947,826,3262,280,4368,737,3282,254,4273,787,3375,397,4559,1149,4129,307,5585,3499,14048,1238,18785
24,Whittlesea C  ,21.002612306484448,-37.64533397,145.0598636,40508650.0,26250.0,67200.0,139450.0,116600.0,46650.0,81.76079332446487,75.60137457044674,61.940298507462686,116.27906976744188,73.33333333333333,112.0,577,2781,1720,5078,422,2700,1194,4316,439,2600,2173,5212,733,3665,1221,5619,2171,11746,6308,20225
11,Hume C  ,21.70283321909456,-37.643926995,144.87927805,23938450.0,28200.0,20950.0,80400.0,80650.0,32200.0,58.53053698032026,57.453416149068325,56.83453237410072,57.692307692307686,55.55555555555556,64.43661971830986,537,3050,2077,5664,493,3030,1822,5345,514,2923,3281,6718,809,4296,1270,6375,2353,13299,8450,24102
25,Wyndham C  ,24.29382435531043,-37.884173186666665,144.70317253333334,10784350.0,17400.0,5700.0,37850.0,29400.0,14850.0,45.93337762171396,42.810457516339866,34.161490683229815,79.41176470588235,45.13274336283185,74.43181818181817,585,3960,4355,8900,433,3697,2412,6542,346,3545,3965,7856,607,6000,3222,9829,1971,17202,13954,33127
5,Casey C  ,38.42338015930118,-38.053639493333336,145.2854763,14640650.0,21750.0,8000.0,52900.0,38050.0,23300.0,90.4759898904802,83.76383763837639,77.8688524590164,109.375,84.48275862068965,127.08333333333331,584,4511,2677,7772,522,4683,2328,7533,562,4365,4235,9162,875,6406,2107,9388,2543,19965,11347,33855
